Bill Date,Vendor Name,Bill Number,Item Name,Description,Quantity,Rate,Amount,Tax Rate %,Total,Payment Status,Notes
2026-01-05,Modern Chikan,MC-735-736,Inventory Purchase - Suits/Anarkalis/Cord Sets,"20 pieces - Mul Chanderi suits, Anarkalis, Cord sets, Organza, Viscose Georgette etc. (Lucknow purchase)",1,137400,137400,0,137400,Paid,List MRP was Rs 2,26,400 - negotiated to Rs 1,37,400. Bill nos 735 and 736. Cash purchase - no GST invoice.
2026-04-22,Modern Chikan,MC-2026-04-22,Inventory Purchase - Pure Organza/Mul Chanderi Suits,"45 pieces - Pure Organza suits, Mul Chanderi, Kota Doria, Cord sets, Anarkali Mul Chanderi, Pants, Tops (Lucknow purchase)",1,239000,239000,0,239000,Paid,List MRP Rs 3,67,150 - negotiated to Rs 2,39,000. Paid in two installments: Rs 1,00,000 + Rs 1,39,000. Cash purchase - no GST invoice.
2026-04-23,Nafasat Chikan,5/127,Inventory Purchase - Kurtis/Sets/Suits (GST-inclusive),"22 pieces - Kurti Muslin, Tops Cotton/Muslin/Viscose, Shrug, Gharara Sets, Pant Set, Cord Set, Anarkali Viscose, Kurta Dupatta Mul, Dress Tissue. GST Tax Invoice 5/127, GSTIN 09AFTPK5160M1ZQ. Recorded gross (GST paid is part of COGS - we are not GST-registered, no ITC claim).",1,70542,70542,0,70542,Paid,GST-inclusive total. We are not registered for GST so the Rs 8428 GST is treated as part of cost of goods.
2026-04-22,Jasleen Lucknow,JL-POTLIS-2026-04,Inventory Purchase - Potlis & Scarves,"15 silk potlis (Navy Blue, Beige, Off White, Picha Green, Wine, Green Mukaish, Velvet Maroon, Black Velvet, Black Gota Patti, Wine Zardozi, Black Beadwork, White Bucket, Yellow Bucket) + 3 Mul Chanderi scarves",1,28940,28940,0,28940,Paid,Accessories. Cash purchase - no GST invoice.
2026-04-22,Lucknow Market - Cash Purchase,LMK-2026-04-22,Inventory Purchase - Single Pieces,"2 pieces - 1 Organza Kaftan (Rs 8000) + 1 Chatapati Kids Sharara (Rs 2500)",1,10500,10500,0,10500,Paid,Walk-in purchases from unlisted Lucknow market vendors during Apr 2026 sourcing trip.
